Name,Artist,Album,Spotify ID,Added On
This Is Why,Paramore,This Is Why,7HdXRMw14roDx2a0COWk3M,2023-11-20T11:06:45Z
Monstarrr,Ennaria,Monstarrr,4VstRC1fSN7JuHnvwom2tD,2023-11-18T19:26:19Z
Feel Better,Penelope Scott,Public Void,0mfHN9LcAPidSI3JCPqYml,2023-11-18T11:43:39Z
Hématome,L'Impératrice,Tako Tsubo,1F2JdXzAJRfCYNhIelTuVU,2023-11-17T21:53:48Z
Chamallow,Polo & Pan,Carrossel Do Tempo,6mdGfjrWlzVxcHcqbOVN3q,2023-11-17T21:37:50Z
Lay All Your Love On Me,ABBA,Super Trouper,4euAGZTszWPrriggYK0HG9,2023-11-17T19:58:27Z
Peng Black Girls Remix - A COLORS SHOW,ENNY,Peng Black Girls Remix - A COLORS SHOW,7L15RIYFpoiHKJQNHsYhWM,2023-11-17T19:52:57Z
Anomalie bleue,L'Impératrice,Tako Tsubo,6z4n862KhNJNWDYSn4aLL5,2023-11-17T19:31:23Z
Know Why,p-rallel,Soundboy,23jq4c7cSD63ef5xdI0enI,2023-11-17T19:31:16Z
Brambles,Frank Carter & The Rattlesnakes,Brambles,2sHWoU97dgQfATRm99WFzr,2023-11-17T16:20:07Z
Voraces,Souffrance,Voraces,0SixvS2DwrqCasKM1Hnok0,2023-11-17T16:11:32Z
We Need More Bricks,Neck Deep,We Need More Bricks,5F3HNBitIp7FkxhBl8SNgW,2023-11-17T15:52:46Z
Vivaldi,Karavana,Muertos en la Disco,7IL6uF8pMTme8ZGwI7ZA09,2023-11-16T21:20:37Z
Liquid Smooth,Mitski,Lush,3XCveEutwTaDiekRkkfdp9,2023-11-16T13:24:41Z
STRANGERS,AViVA,STRANGERS,2eeLM9CVHETMWIdDGtW39i,2023-11-10T05:20:52Z
Psychopath,Siiickbrain,Psychopath,134Enu11pXxLWWPwadoq2f,2023-11-10T05:14:46Z
Northern Attitude (with Hozier),Noah Kahan,Northern Attitude (with Hozier),3BqvSMpXIXHuLUFQgXL4K5,2023-11-10T04:33:11Z
Cobra,Megan Thee Stallion,Cobra (Rock Remix) [feat. Spiritbox],6Mc0pBIAouZC6QktL2Rshc,2023-11-09T20:52:34Z
Cobra (Rock Remix) [feat. Spiritbox],Megan Thee Stallion,Cobra (Rock Remix) [feat. Spiritbox],6HNWDjbome8TQp0rYRZTQS,2023-11-09T20:49:50Z
Francis Forever,Mitski,Bury Me At Makeout Creek,5411TEB6tlzvuF5A4oyldr,2023-11-09T09:40:13Z
I Bet on Losing Dogs,Mitski,Puberty 2,2Co0IjcLTSHMtodwD4gzfg,2023-11-09T09:40:12Z
First Love/Late Spring,Mitski,Bury Me At Makeout Creek,3sslYZcFKtUvIEWN9lADgr,2023-11-09T09:40:08Z
Washing Machine Heart,Mitski,Be the Cowboy,3jjsRKEsF42ccXf8kWR3nu,2023-11-09T09:40:03Z
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,3vkCueOmm7xQDoJ17W1Pm3,2023-11-08T13:17:22Z
I'm Yer Dad,GRLwood,Daddy,0Bq0OZoSo05djGSp80EDoo,2023-11-08T13:17:21Z
Message To The Man,Jalen Santoy,II Shepherds,4JbX7hZIvstWxww5TczawF,2023-11-07T23:03:18Z
Keep The Wolves Away,Uncle Lucius,And You Are Me,1u7J5sEfgOVRt5bkfU2oGV,2023-11-07T23:02:59Z
Lazer Beams,Green Velvet,Lazer Beams,25z3WiJSmNFxLg9qpiannU,2023-11-05T15:03:03Z
Take It Off,FISHER,Take It Off,6TBG49n0c8M2nyes47i78h,2023-11-05T15:02:54Z
teresa,YUNGBLUD,weird!,49c3mHgaXxXKnYgNojzo1O,2023-11-05T13:35:54Z
Man Down,Rihanna,Loud,1Bx0zEdVjkFlV27iKaePug,2023-11-04T19:48:00Z
Hugging You - Acoustic,Tom Rosenthal,Z-Sides,7io1erAh1tMxG5VMBC8rVw,2023-11-04T15:33:36Z
Throw Myself Away,girli,Ex Talk,3GNUhdru2wAJ8lAe4xpObb,2023-11-04T15:31:50Z
"Pray for Love - Live from Spotify, London",Kwabs,Spotify Sessions,111r7H4mnFtys6xGDactRm,2023-11-04T15:20:25Z
Scrawny,Wallows,Nothing Happens,1pNUmVxDiE8t6P1XxcZAv8,2023-11-04T13:31:38Z
satellites* *,Enter Shikari,Nothing is True & Everything is Possible,4MJcimcruJ4GkDsmVaHR3V,2023-11-04T08:39:43Z
Who are you?,Bad Omens,THE DEATH OF PEACE OF MIND,1Gr0kbo4cgxYmhJa2lZX1a,2023-11-04T08:39:41Z
ACID,Hardwell,ACID,6JkQb1qCCJDBV7kW5vJUAH,2023-11-04T00:24:09Z
Partner in Crime,Madilyn Mei,Promise You Won't Scream,5lLLvKIRr5k8otmyZJPyc6,2023-11-03T15:09:38Z
Fish in the Sea,Storm Weather Shanty Choir,Fish in the Sea,6HfotQ2y0fjdAeF8kSb91t,2023-11-03T13:14:54Z
Killing Me,Conan Gray,Killing Me,2Lss5tezmIkgZA3GFfptI2,2023-11-03T12:47:03Z
Disposal Unit (Imperium Mix),Jesper Kyd,"Warhammer 40,000: Darktide (Original Soundtrack)",2BPvUFVjoIphztzsnHJTi2,2023-11-03T12:12:26Z
Walk Like an Egyptian,The Bangles,The Essential Bangles,1Jwc3ODLQxtbnS8M9TflSP,2023-11-02T23:32:51Z
Petricor,Caricias,Petricor,0PUm0xPk2mpYsCd6SsdDN9,2023-11-02T17:12:08Z
Fugaces,Caricias,Petricor,3SKTcE8MnZ466bgJZP45Bm,2023-11-02T16:43:26Z
Gisèle,Emma Peters,Emma Peters (Remixed),6wqv1yeDe2wlPmQEM5ZCYb,2023-10-31T21:59:40Z
Gorgeous,Ash,Gorgeous,1b8ChLRqjihDdrrbbFrsGp,2023-10-30T10:27:46Z
PASIÓN,Monteperdido,Daño Físico,0HWdyuAj1s3HXDNH8L0hkZ,2023-10-29T14:15:41Z
TODO MI AMOR,Monteperdido,Daño Físico,10pYPInBHsFjqmrMiEElnw,2023-10-29T14:15:41Z
AÑO 2K,Monteperdido,Daño Físico,26odwcJ6sMJRlfTOx4diVW,2023-10-29T14:15:41Z
DAÑO FÍSICO,Monteperdido,Daño Físico,3FBLdCCeZ8zoFzYmigof9S,2023-10-29T14:15:41Z
MARCA 52,Monteperdido,Daño Físico,46OtxYJICpgwDVkpj86kmM,2023-10-29T14:15:41Z
RIP,Monteperdido,Daño Físico,4ZfRkApdP1OKggsukBCCaO,2023-10-29T14:15:41Z
VAS A PETAR,Monteperdido,Daño Físico,4wiR25F659pkdEGSj0b2vD,2023-10-29T14:15:41Z
NUNCA NUNCA,Monteperdido,Daño Físico,6xhqGTurltK2Hu7n0melfJ,2023-10-29T14:15:41Z
NO ESTOY BIEN,Monteperdido,Daño Físico,7kMaFSNnCJusPZEn7KIr8f,2023-10-29T14:15:41Z
Yoga facial,Sandré,Gestiones Fáciles,3aRX1DIDcJai09D85L9Rr5,2023-10-27T15:32:37Z
Wonderland (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2ve0kuaWUCt4Zx8x4bf1MR,2023-10-27T09:40:21Z
Clean (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2ByBBvpR9b7IynvRmnG7kG,2023-10-27T09:35:18Z
Venom,WARGASM (UK),Venom,040EYMxia2cAw1J1VoHLpt,2023-10-27T09:34:50Z
Do It So Good,WARGASM (UK),Venom,0BfZtCFCdiGzgNGHLu9ELC,2023-10-27T09:34:50Z
Outrage,WARGASM (UK),Venom,0GPfp3ujM0zha3ywaNPFoF,2023-10-27T09:34:50Z
Sombre Goodbye,WARGASM (UK),Venom,1AbdXbxuFXfpBHKoTlyoHl,2023-10-27T09:34:50Z
S.A.D.,WARGASM (UK),Venom,2kwhfDt4WxY6MxBvDZDLpq,2023-10-27T09:34:50Z
Bang Ya Head (feat. Fred Durst),WARGASM (UK),Venom,2ptiYxdAkKPiDwm33z1VPn,2023-10-27T09:34:50Z
Sonic Dog Tag,WARGASM (UK),Venom,3HaDbkc4Vs5Uluz643Y3Ml,2023-10-27T09:34:50Z
Minigun,WARGASM (UK),Venom,3ZP1mXLDe9TDk06QZHZXHT,2023-10-27T09:34:50Z
Ride The Thunder,WARGASM (UK),Venom,4WlEMrU9F3TvJAf63qIRXA,2023-10-27T09:34:50Z
Modern Love,WARGASM (UK),Venom,5v4Tjh58gojuwES5gT0a6c,2023-10-27T09:34:50Z
Death Rattle,WARGASM (UK),Venom,6eab40naGjZhopIXh0QDAR,2023-10-27T09:34:50Z
Introduction,WARGASM (UK),Venom,79KqnpbozmoiohkTWIGWQd,2023-10-27T09:34:50Z
Feral,WARGASM (UK),Venom,7vSlMUHmT7B3GiAS4IXk4j,2023-10-27T09:34:50Z
PERLA NEGRA,Recycled J,CASANOVA DELUXE,0YaaoDvaNGii3eqTaSsebx,2023-10-24T09:41:13Z
I Want Everything,Hyper,I Want Everything,3ENFg9w1RTlLv4UodmSDRL,2023-10-24T09:41:09Z
what if it doesn't get better?,Mookigang,what if it doesn't get better?,7rO7Z4yUewhV9UjjHWRrVg,2023-10-22T12:44:04Z
Royals,Lorde,Pure Heroine,2dLLR6qlu5UJ5gk0dKz0h3,2023-10-21T12:43:20Z
Cruel Summer - Live from TS | The Eras Tour,Taylor Swift,The Cruelest Summer,6ClYMObS7f3Nn4AiZHYQt3,2023-10-21T11:53:39Z
Mean Brain,Sharptooth,Transitional Forms,3VUuP9GgLoZLVZmRPyJUNG,2023-10-20T08:18:11Z
All In Caskets,Jynx,All In Caskets,7zg43gbtu67Bek5MhDKhkh,2023-10-20T08:03:56Z
Aloha,Carlos Sadness,Tropical Jesus,3V3H0j55mS4OgXiOT7vpmR,2023-10-19T18:22:40Z
A Kiss for the Whole World x - Audiotree Version,Enter Shikari,Enter Shikari | Audiotree From Nothing,3jfAWr66YBl3heG3D8GWVl,2023-10-19T07:33:37Z
{ The Dreamer's Hotel } - Audiotree Version,Enter Shikari,Enter Shikari | Audiotree From Nothing,5EAjrzrt8e90B0KmA21HYg,2023-10-19T07:33:35Z
Bloodshot - Audiotree Version,Enter Shikari,Enter Shikari | Audiotree From Nothing,3gHrlT9RXKCjyrgNH4qmaO,2023-10-19T07:33:34Z
(pls) set me on fire - Audiotree Version,Enter Shikari,Enter Shikari | Audiotree From Nothing,0cqUrKBJsI9TqC8k0adEAL,2023-10-19T06:46:45Z
Sadio (feat. Offset),Hamza,Sincèrement,5eGid3rXirJcCoROMnTqg0,2023-10-18T21:04:07Z
Swing Lynn,Harmless,I'm Sure,3VCXx37jNGNOMns6z2OnvJ,2023-10-18T19:05:41Z
Lágrimas de oro,Manu Chao,Clandestino,5VEbIsn42Z8D3bz3RsjQcV,2023-10-17T19:33:31Z
Majesty (with Labrinth & feat. Eminem),Nicki Minaj,Queen,38TgLPNHsPzgqri5G4SPun,2023-10-14T09:24:48Z
What's The Time Where You Are?,Troye Sivan,Something To Give Each Other,0sYM4OmgrRYaHq6DV7obq1,2023-10-13T12:34:07Z
Heart Attack - Rock Version,Demi Lovato,REVAMPED,1ULhvVj82GN2TMjCvTWmKU,2023-10-13T09:47:53Z
Confident - Rock Version,Demi Lovato,REVAMPED,4xT8kA0s54x6lLAdOk3KbP,2023-10-13T09:47:52Z
Sorry Not Sorry (with Slash) - Rock Version,Demi Lovato,REVAMPED,2Yl08xyJyvTR38P3eoXB0M,2023-10-13T09:47:50Z
Cool for the Summer - Rock Version,Demi Lovato,REVAMPED,5N54WH2BbO5Fm6UKbLhQMX,2023-10-13T09:47:48Z
Give Your Heart A Break (with Bert McCracken from The Used) - Rock Version,Demi Lovato,REVAMPED,6DSgkzGzqLoRoeLyfxDnvY,2023-10-13T09:47:39Z
Skyscraper - Rock Version,Demi Lovato,REVAMPED,3L5Zq2TLqmblw7QtoRlPLa,2023-10-13T09:47:36Z
deprecating,Maggie Lindemann,deprecating,0S3hKgCbYTWPOesdVM4bg7,2023-10-13T09:21:59Z
Modern Love,WARGASM (UK),Modern Love,0c1TvU8YThmexkEfFUt9wV,2023-10-13T09:21:57Z
DArkSide,Bring Me The Horizon,DArkSide,19vHgVS1aukRiQWhTqfKnE,2023-10-13T09:21:46Z
DANCING ALL ALONE,Clinton Kane,BITTERSWEET,2PUfsFdOfDBTKQSZNq0Eqn,2023-10-13T06:52:57Z
BITTERSWEET,Clinton Kane,BITTERSWEET,4Ap4XPfDknSxcqBTVbyEqp,2023-10-13T06:52:57Z
Yo No Soy Celoso,Bad Bunny,Un Verano Sin Ti,5kVZxyMY1gfdCLiChsfjn1,2023-10-12T12:30:49Z
Después de la Playa,Bad Bunny,Un Verano Sin Ti,1dm6z1fWB0cErMszU25dy2,2023-10-12T09:24:41Z
We Got the Moves,Electric Callboy,We Got the Moves,4EFb9FhLyFiDbYKwBwDZre,2023-10-10T13:30:52Z
Daylight,Taylor Swift,Lover,1fzAuUVbzlhZ1lJAx9PtY6,2023-10-09T22:43:41Z
Ghost of Chicago (Piano Acoustic Version),Noah Floersch,Ghost of Chicago (Piano Acoustic Version),78fLv5ZYL0TYd1Ma6tRzHf,2023-10-09T06:25:18Z
Ghost of Chicago,Noah Floersch,Ghost of Chicago,4whpHwKr9rH2MTFzXk7mkW,2023-10-09T06:25:16Z
SIMPLE (feat. I DONT KNOW HOW BUT THEY FOUND ME),DE'WAYNE,My Favorite Blue Jeans,3IppKdrpeNTGGxmPyo9clr,2023-10-09T06:19:20Z
I DON'T NEED YOUR LOVE,Comfort Royale,I DON'T NEED YOUR LOVE,3IK383se4ALCJEmAQ8qZPo,2023-10-09T06:16:25Z
Subliminal,half•alive,Subliminal,2L5watN9wy4bAnBvhxYg8r,2023-10-09T06:13:22Z
Majesty,Apashe,Requiem,08E0TIudwefGjA27W4zrnf,2023-10-08T18:13:53Z
This Is Why (Re: Foals),Paramore,Re: This Is Why,1nvGMPUA760kI0hEm1o6te,2023-10-07T19:00:55Z
Running Out Of Time (Re: Zane Lowe),Paramore,Re: This Is Why,2Ax2KCM1R8jbMPJ05XR56N,2023-10-07T19:00:55Z
